Date,Close,bol_upp,bol_mid,bol_low,macd_line,macd_signal,macd_histogram,rsi_val,y,diff,1hot
1991-06-19,148.0,157.311,144.625,131.939,2.806,2.481,0.325,55.926,152.5,4.5,1.0
1991-06-20,152.5,158.061,145.375,132.689,3.231,2.631,0.6,61.25,142.0,-10.5,0.0
1991-06-24,142.0,158.062,145.35,132.638,2.69,2.643,0.047,46.219,141.0,-1.0,0.0
1991-06-25,141.0,157.982,145.45,132.918,2.156,2.546,-0.389,45.005,138.5,-2.5,0.0
1991-06-26,138.5,157.438,144.825,132.212,1.514,2.339,-0.825,41.836,141.0,2.5,1.0
1991-06-27,141.0,157.105,144.475,131.845,1.193,2.11,-0.917,46.207,136.5,-4.5,0.0
1991-06-28,136.5,156.836,143.875,130.914,0.569,1.802,-1.233,39.969,132.0,-4.5,0.0
1991-07-02,132.0,156.46,142.925,129.39,-0.285,1.384,-1.67,34.582,125.0,-7.0,0.0
1991-07-03,125.0,155.548,141.35,127.152,-1.509,0.806,-2.315,27.846,121.0,-4.0,0.0
1991-07-04,121.0,156.56,140.025,123.49,-2.77,0.091,-2.861,24.677,124.0,3.0,1.0
1991-07-05,124.0,157.014,139.075,121.136,-3.487,-0.625,-2.862,31.43,125.5,1.5,1.0
1991-07-08,125.5,157.019,138.2,119.381,-3.889,-1.278,-2.612,34.803,131.5,6.0,1.0
1991-07-09,131.5,156.529,137.625,118.721,-3.682,-1.759,-1.923,46.864,132.0,0.5,1.0
1991-07-10,132.0,156.121,137.15,118.179,-3.437,-2.094,-1.343,47.793,133.5,1.5,1.0
1991-07-11,133.5,156.125,137.2,118.275,-3.087,-2.293,-0.794,50.771,136.0,2.5,1.0
1991-07-12,136.0,156.142,137.225,118.308,-2.578,-2.35,-0.228,55.638,130.0,-6.0,0.0
1991-07-15,130.0,155.665,136.625,117.585,-2.629,-2.406,-0.223,43.68,132.0,2.0,1.0
1991-07-16,132.0,155.427,136.3,117.173,-2.478,-2.42,-0.058,47.98,131.0,-1.0,0.0
1991-07-17,131.0,153.473,135.35,117.227,-2.412,-2.419,0.006,45.956,130.0,-1.0,0.0
1991-07-19,130.0,150.124,134.15,118.176,-2.413,-2.418,0.005,43.822,128.0,-2.0,0.0
1991-07-22,128.0,147.933,133.15,118.367,-2.545,-2.443,-0.102,39.582,135.5,7.5,1.0
1991-07-24,135.5,144.04,132.3,120.56,-2.022,-2.359,0.337,57.413,142.0,6.5,1.0
1991-07-25,142.0,144.04,132.3,120.56,-1.07,-2.101,1.031,67.117,151.5,9.5,1.0
1991-07-26,151.5,146.908,132.825,118.742,0.445,-1.592,2.037,76.246,167.0,15.5,1.0
1991-07-29,167.0,154.96,134.25,113.54,2.864,-0.701,3.564,84.399,175.5,8.5,1.0
1991-07-30,175.5,163.634,135.975,108.316,5.404,0.52,4.884,87.183,176.0,0.5,1.0
1991-07-31,176.0,170.901,137.95,104.999,7.372,1.891,5.482,87.336,187.0,11.0,1.0
